,name,description,is_preschooler
738,the beast who couldn't say boo (trick or treat tales),"scaring stuffed animals and the family pets is easy for boris, but when other people are around, this beast gets too nervous to say boo! can he get over his stage fright in time for halloween?",0
740,"dear god, thank you for friends","annie fitzgerald's popular art and ken abraham's expert insights give kids answers to the real questions they most want to ask god. this beautifully written and uniquely illustrated series helps to answer the profound and sometimes complex questions children want to ask god about themselves, their world, and god himself. the answers are written to help children understand and to help adults engage kids in meaningful discussion. dear god . . . if i gave all my love away . . . could i have a refill? dear god . . . you should have asked me if i wanted freckles. dear god . . . i'm tired of sitting on the side. dear god . . . i need to make some big decisions. can we talk? dear god . . . do you have any problems?",0
742,my little house abc (my first little house books),"using familiar objects taken directly from laura ingalls wilder's classic little house books, the very youngest readers can learn about laura and her life on the prairie as they begin to recognize the alphabet. full color.",0
743,a picture book of benjamin franklin,"surveys the life of benjamin franklin, highlighting his work as an inventor and statesman. <br />",0
754,yip! snap! yap!,"sing along with puppy dogs- aroo! aroo! aroo!this sassy read-aloud is an invitation to join a rambunctious romp through a happy doggy world. the adorable crescendo is sure to have kids and puppy fans of any age howling ""encore!""ä¢ heavy page stock will stand up to repeat readings and little hands.ä¢ perfect choice for storytime.",0
755,my dad!,"charles fuge, the acclaimed artist of <i>i know a rhino</i>, <i>sometimes i like to curl up in a ball</i>, and <i>it’s a monster party</i>, is back with another winner that’s sure to become a favorite with kids—and their parents. not only does it have the cutest illustrations ever, but the story is one dear to children’s hearts: the importance of a loving, protective father. a cuddly little bear has a tale to tell about his dad, “the roughest, toughest, biggest, strongest dad in the whole jungle.” the real fun is in the illustrations of cute cubs marching behind and listening— and running off one by one in fear as they hear that daddy has teeth sharper than an alligator, more claws than an eagle, and can roar as loud as a lion. but when the little bear finds himself alone and gets scared, it’s papa who comes to save the day. the final illustration —with daddy carrying his smiling cub, will warm any heart.<br />",0
759,winter walk,"winter is here! let's follow the kitty on a bright, crisp winter adventure. see, touch, taste, and feel all the snowy fun and beauty the season has to offer!",0
763,a guinea pig for you: caring for your guinea pig,"find out about all of the basics about owning a guinea pig. learn about what guinea pigs eat, how to keep your guinea pig happy, and general care.",0
764,i am a little giraffe: large,what if animals could talk? these charming books each depict a day in the life of a young animal-as told by the animal itself! the simple stories will delight small children and the art is simply outstanding. author-artist francois crozat was 1994 winner of the coveted critici in erba prize at the international bologna children's book fair for his illustrations in i am a little panda.,0
765,baby giraffe,"for ages 4-8. the san diego zoo animal library series gives youngsters the opportunity to learn about many animals, most of which can only be seen in zoos. some of these animals are endangered. others are rapidly disappearing from the earth. the library offers the chance to learn about these animals before they are gone forever. and each volume of the library is numbered. collect them all and provide your child with an encyclopaedia of animal life.",0
779,elmer's colors,"<strong>elmer, every child's favorite patchwork elephant, introduces toddlers to colors.</strong><br /><br />elmer the elephant is bright-colored patchwork all over. who could be a gentler and friendlier teacher than elmer? this is a simple and sweet way for the youngest readers to choose their favorite colors.<br /><br />this board book edition has sturdy, thick pages, perfect for the youngest readers.",0
788,hello halloween! (hello kitty),"what will hello kitty decide to be for halloween? the perfect halloween treat-a board book edition of the delightful hardcover is finally available. <br />hello kitty can't decide what she should be for halloween. she asks her friends, but they all have different ideas. she wonders if she should be a ballerina? a cheerleader? a pirate? the possibilities are endless join hello kitty and her friends as they prepare for the perfect costume party. <br />this board book edition is the perfect halloween treat",0
789,mr. wolf's pancakes,"mr wolf fancies some tasty pancakes, but he doesn't know how to make them. he tries to ask his neighbours, but they are a mean and horrible lot who refuse to help. so he has to do everything by himself - but what will happen when those nasty neighbours want to eat his delicious pancakes?",0
792,pancake boy,a retelling of the traditional norwegian tale about the adventures of a runaway pancake.,0
804,humpty dumpty...after the fall,"<i>""no matter how many times you stumble and fall,<br /> just pick yourself up and get back on that wall!""</i><br /> even the youngest readers will be inspired by humpty's positive attitude! patched up and ready for fun, he climbs back on the wall to dance, jump, and play in this die-cut, thick, big-trim board book that takes off where the classic nursery rhyme ends. shaped like a castle, this fun, chunky book gives kids an amazing view inside humpty dumpty's world with die-cut doors and peek-through windows. charles reasoner's simple, rhyming text and eye-catching artwork give new life to this egg-shaped hero.<br /><br />",0
812,there was an old lady who swallowed a fly,"an illustrated version of the cumulative folk song in which the solution proves worse than the predicament when an old lady swallows a fly. some pages are die-cut, permitting a portion of the next illustration to be seen.",0
818,brother bear loves dinosaurs (the berenstain bears),brother bear tells us all about his favourite dinosaurs!<br /><br />ages 2-6,0
830,the mountain that loved a bird,"""""i am joy, and i have come to qreet you.""""a beautiful bird named joy stops one day to visit a mountain. every spring she flies high in the air, looking for the best place to build her nest and raise her children. as much as joy would like to stay with the mountain, she must leave to continue her search. after hearing the mountain's pleas for her to stay, joy is so touched she makes a very special promise that each spring the mountain will be visited by one of her kin. over time the birds bring about a wonderful change in the mountain -- a change that will transform the mountain forever.",0
831,the very busy spider: a lift-the-flap book,"now one of eric carle's most popular books is a lift-the-flap book! the horse wants to go for a ride, the cow wants to eat some grass, and the sheep wants to run in the meadow—but where is the very busy spider? you'll have to lift the flap to find out!",0
833,brown bear & friends board book gift set,"with more than 6.5 million copies sold in board book alone, bill martin jr and eric carle's classic bear books have been a hit with young children for many generations. now, for the first time, <i>brown bear, brown bear, what do you see?</i>; <i>polar bear, polar bear,what do you hear?</i>; and <i>panda bear, panda bear, what do you see? </i>are available together in a boxed board book gift set—perfect for every baby's first library.<br /><br />this title has common core connections.",0
834,the very busy spider's favorite words,kids will love flipping through these chunky board books! these two mini board books are children’s first steps to reading eric carle books on their own. each book shows ten images and ten easy words from one of eric carle’s classic very books. first-time readers will love to learn these words and pictures and then find them later in the original picture books!,0
840,"the tale of the little, little old woman",a simple tale tells of a little cat that gets into big trouble.,0
844,max learns sign language,max's friend susan cannot hear. she talks with her hands. will max's sign language class help him learn how to talk to her?,0
849,thomas the tank engine's hidden surprises (thomas & friends),"thomas is going on a special trip to the circus, and there are lots of wonderful things to discover along the way--a beautiful hot air balloon, a playful dolphin, and a barrel of monkeys, just to name a few! lift and peek behind the many flaps and see the hidden surprises. preschoolers will want to climb on board with this fun transportation shaped flap book, bursting with treasures on every page!",0
850,hooray for thomas!: and other thomas the tank engine stories (thomas & friends),"filled with gentle humor and lots of photos, here are three fun new stories straight from thomas’ newest video. first, thomas saves the day when the medals for the children’s sports day are left in the station. next, skarloey must help sir topham hatt when he is carried off by a runaway balloon. and finally, gordon wants nothing to do with the big engine decorating contest, but a large banner might alter his plans.",0
858,uncover the human body,"<i>this book has alternate cover editions for this isbn [ace]</i><br /><b>
  <a href=""https://www.goodreads.com/book/show/26060880"" rel=""nofollow"">ace #1</a>
</b><br /><br />filled with interesting facts and information, this book offers a comprehensive approach to teaching children about anatomy and functions of the human body. beginning with the dermal system each layer addresses the skeletal system, digestive system, urinary system, circulatory system, repiratory system, muscular system, and nervous system. children will learn why bones can bend without breaking, how blood travels thru the body and protects against germs, how different parts of the brain controls different functions of the body and what smoking does to your lungs.",0
868,snowmen pop-up book,"mark and caralyn buehner, the authors of the wildly popular snowmen at night and snowmen at christmas, present their latest title, the snowmen pop-up book. this lavish pop-up book features six action-packed interactive spreads with multiple pop-ups, pull-tabs, and other nifty elements.",0
870,my first kitten touch and feel,these two new large-format novelty books feature a wide variety of fun textures and colorful images of adorable and nearly life-size puppies and kittens that are sure to delight children and promote early learning.,0
875,dress-ups,"anne geddes board books are an excellent introduction to the experience of reading. engaging images and broad themes allow your toddler to comprehend these books in a variety of ways. faces shows children with all kinds of expressions, colors runs through the primary spectrum and then some, and dress-ups features the classic fashions of make-believe. built to withstand the repeated scrutiny and enthusiastic page turning of even the most rigorous young readers, these board books make reading hands-on fun.",0
877,elmo's little playhouse (a chunky book),"illustrated in full color. elmo wants to turn a cardboard box into a fun-filled playhouse.  who will help him cut, color, and paste?  ernie, betty lou, herry, and a horde of his muppet friends, that's who.",0
881,when i'm feeling scared,"have you ever been so scared that your heart races? do creepy, crawly spiders and being alone in the dark make you tremble? the little rabbit knows how it feels to be scared and just what to do to feel better. read along, and you too might find that what scares you isn’t so scary after all.",0
888,"trick or treat, little critter (a golden look-look book)","little critter describes how he and his family select their halloween costumes, buy and decorate a pumpkin, and go trick or treating.",0
892,eight days of hanukkah,"harriet ziefert's lively text and melinda levine's bright illustrations bring the holiday of hanukkah to life in a way that's just right for little ones. with every page a candle is added to the menorah, and one holiday ritual is introduced--from lighting candles to storytelling to dreidels and latkes. full color.",0
895,"go to sleep, russell the sheep","based on scotton's new york times bestselling russell the sheep, this adorable board book features all the highlights from the original book in addition to a special snoring surprise inside. full color.",0
917,marmalade's snowy day,marmalade looks for a warm place to hide from the snow outside.,0
927,dinosailors,"prepare for a high-rhyming, tummy-tickling, rip-snortingly hilarious tale of hijinks on the high seas when a crew of novice dinosailors set sail for adventure . . . only to find that something even better awaits them back home.<br /> deb lund has created a dinovoyage of epic proportions, an outrageous journey that finds a dinomite match in the equally outlandish art of howard fine.<br />",0
940,odysseus and the cyclops,"on the way home from the trojan war, the greek hero odysseus and his band of men are trapped in a cave by a one-eyed, man-eating giant--the cyclops called polyphemus. each day polyphemus leaves the cave to graze his sheep, but rolls an enormous boulder in front of the entrance to keep odysseus and his men inside. desperate, odysseus works out a brilliant plan to overcome the monster. full color.",0
942,tyrannosaurus rex: fierce king of the dinosaurs,"young readers are introduced to the fierce t. rex in this early-reader book by a world renowned paleoartist, whose spectacular full-color paintings make t. rex and other carnivorous creatures come to vivid life. includes lists of words to know, note to parents and teachers, internet addresses, and more.",0
946,this quiet lady,what was your mother like as a little girl? how did she look in school? what did she do before you were born? follow along as one girl joyously searches through old pictures to find out. generations will be inspired to share family history as they treasure this book together.<br /><br />retitled with new illustrations by anita lobel.,0
956,my mom loves me more than sushi,"in this delightful, utterly delicious picturebook, a little girl joins her mom to learn about--and eat--fabulous foods from around the world. sushi, biscotti, houska, canja, couscous, megadarra, smogastarta, crepes, jambalaya and samosas all star in full color alongside a hilarious siamese and a beagle who join in the family's culinary adventure. there's even a dancing crayfish or two.",0
969,thomas gets a snowplow (thomas & friends),"winter is coming and thomas, being a small engine, needs to put on his snowplow. thomas hates his snowplow; he thinks it makes him look funny, and when he has it on, the other, bigger engines tease him. but thomas saves the day when a big storm comes up and toby is stuck on his branch line.",0
976,shhhh,someone just woke up. quietly she moves around the house. everyone else is still asleep...<br /><br />a perfect good morning for early -- and late -- risers.,0
979,"good-bye, curtis","curtis has been delivering mail for forty-two years. today is his last day. and all the mailboxes along his route are filled with surprises.<br /><br />there is a drawing from debbie, dennis, and donny. there is a bottle of aftershave from the johnsons. there is a small, fat book from mr. porter.<br /><br />but the real surprise is at the very last house on the very last street. there is no doubt that everyone loves curtis!",0
989,penguin,"learn about the wonderful world of emperor penguins, from the courtship rituals through the birth of the chicks. <br /><br /><i>watch me grow</i>, a groundbreaking series from dk, brings readers ages 5 and up into the fascinating world of animal development. close-up photographs give children an animal's eye-view of growing up, while simple, first-person text and fact boxes explain what is happening at each stage in the lives of animals.<i>watch me grow</i> introduces beginner's to the cycle of life with gorgeous photography and accessible information. it's the next big thing in first natural history books.",0
991,ten little elvi,"<b>count down with these little kings</b><i>ten little elvi gettin'¬? ready to shineone made a comeback and then there were nine.</i>ten little tykes pay tribute to the king of rock '¬?n'¬? roll. while younguns learn numbers with caped elvis, gi elvis, karate elvis, and seven other diminutive impersonators, adults will enjoy finding hidden references to the king'¬?s life and song. for fans and future fans alike.a counting book as one of a kind as its subject.talented new illustrator.",0
992,a child's garden of verses,"this beautiful board book features eight of robert louis stevenson's classic poems with antique illustrations by some of the best-known children's book illustrators of the late nineteenth and early twentieth centuries, including charles robinson, h. willebeek le mair and jessie willcox smith. an unforgettable treat for the very youngest readers.",0
993,opposites,"<b>what a concept! little ones change things into their complete opposites with the help of this delightful interactive book from robert crowther. <br /></b><br /><br />happy or sad? old or new? empty or full? pull a tab, and a bright green crocodile's jaws go from shut to open, revealing a huge pink mouth lined with sharp white teeth. see that pretty little hummingbird? flip a flap and a big long-necked ostrich takes its place. now turn a wheel, and you're in for a carnival ride, circling up and down. from noted novelty-book artist robert crowther comes a hands-on book that makes the concept of opposites crystal clear to even the youngest readers.",0
994,opposites (usborne first learning activity book),"educational activity books encourage a basic understanding of math, writing and reading",0
1000,little bunny (finger puppet book),"sweet, simple rhyming text and an interactive finger puppet combine for hours of delightful play!",0
1005,the owl and the pussycat,"in this beautifully illustrated edition of lear's beloved nonsense poem, mortimer takes the reader on the delightful voyage of the owl and the pussycat, across the sea and into lush jungles, all by the light of the moon. full color.",0
1006,if you were a noun,provides an introduction to nouns and proper nouns. includes an activity.,0
1009,the rainy day,have you ever wondered what makes a rainbow? this whimsical picture book takes you on a special journey to find out.,0
1020,i'm not cute!,"little owl wants to be strong, brave, and fearsome--not cute! but he is cute and no one can resist telling him so. with appealing art and a universal theme, this book is sure to delight young readers. full color.",0
1023,butterfly kisses,"in this moving story told in conversational verse, singer/songwriter bob carlisle and his daughter, brooke, recapture the emotions so eloquently expressed in bob's inspiring song, a musical sensation that became a #1 hit. ""butterfly kisses"" celebrates the love between fathers and daughters, as well as the shared trust and hope that create this unique and everlasting bond.",0
1025,hector protector,"<b>nursery rhymes that toddlers will relate to</b><br /><br /><i>hector protector was dressed all in green;</i><br /><i>hector protector was sent to the queen . . .</i><br /><br />hector is an obliging dog who lets his toddler friend clothe him in jacket, scarf, and sock. on the boy and dog's visiting rounds, however, the queen (mom) and king (dad) are not terribly receptive when hector jumps all over them. ""so hector protector was sent back again"" -- for a nap with his friend on the floor.<br />",0
1032,penelope in the winter,"everyone has fallen in love with penelope--an energetic and inquisitive koala created by the author and illustrator of the popular gaspard and lisa books!<br /><br />children can pull the tabs on every spread and help penelope get dressed to play fun games in the snow. on one spread, penelope can't find her mittens. kids can pull the tab to reveal the mittens hiding under a blanket. on another spread, penelope needs help skiing down a hill. kids can pull the tab to make her glide down smoothly.<br /><br />and penelope's popularity is worldwide: translation rights to the series have been sold in 11 languages to major and renowned publishers. and more than 250,000 copies of the books are in print worldwide within the first year.",0
1035,your friend the rat (little golden book),"when a little rat named remy tries to become a chef in a famous french restaurant, there's bound to be trouble. this full-color read-aloud storybook retells all of the action of disney / pixar's latest animated feature film, <i>ratatouille</i>!",0
1043,"little house on the prairie (little house, #2)","length: 5 hrs and 45 mins<br /><br />pa ingalls decides to sell the little log house, and the family sets out for indian country! they travel from wisconsin to kansas, and there, finally, pa builds their little house on the prairie. sometimes farm life is difficult, even dangerous, but laura and her family are kept busy and happy with the promise of their new life on the prairie. recommended for ages 8 and up. unabridged. paul woodiel plays the fiddle. read by cherry jones. 6 cds. 5.5 hours.",0
1046,the story of the easter bunny,lovely paintings in fresh spring colors illustrate how a humble bunny earns a rabbit's highest honor when he is named easter bunny. a delicious treat for easter baskets. full color.,0
1049,here comes the rain (dk toddlers),"this series of books, designed for toddlers who are ready to move beyond board books, explores a wide range of subjects, from first feelings and first achievements, to first words and concepts. written by well-known authors and artists using bright contemporary illustrations, these sturdy books are ideal for beginning readers or for reading aloud.this simple tale of expectations and discovery about a cat who loves the sun and hates the rain will charm as it instructs.",0
1053,hands,"a child watches her mother and father as they work with their hands, and she knows she wants to build and sew and garden and paint just like them. when they give her a special place to work, lots of good materials, and plenty of encouragement, she makes the most wonderful things! “it’s a work that looks simple, but encompasses at least as many grand notions as ehlert’s first book, <i>growing vegetable soup</i>.”--<i>kirkus reviews</i><br />",0
1056,whoever you are/quienquiera que seas,"every day all over the world, children are laughing and crying, playing and learning, eating and sleeping. their lives may be quite different. but inside, they are all alike.<br />           available for the first time as a bilingual board book, mem fox's poignant tale is an inspiring celebration of diversity for all children, whoever they are.",0
1061,baby talk,this sequel to baby faces includes another standout set of beautiful babies and their first words. photographer margaret miller once again zooms the camera lens in for up-close snapshots of adorable youngsters. full color.,0
1062,baby faces,"<b>hey, baby! look at these faces!</b>",0
1063,my best friends,"photographs depict the pleasures of having a pet from hugging two fluffy white dogs or a black cat, to playing ball with a big black dog.",0
1074,my little miracle,"pictures of babies paired with an emotional text make this padded board book the perfect baby gift.<br /><br />""welcome to the world of smiles and hugs<br />when tucked into bed or cuddled in rugs . . .<br />enjoy friendship and laughter your whole life through<br />and the love that we feel as we welcome you.""<br /><br />into a world full of wonder comes the greatest miracle of all. this padded board book celebrates the special joy of a new baby in the world. from birth to a baby's first step, stunning photographs and simple poetry tell a story of love.",0
1077,a picture book of jackie robinson,"<b>a moving, illustrated account of the first african american baseball player in the major leagues. </b><br /><br />in april 1947, jackie robinson joined the brooklyn dodgers, and forever changed the history of sports. but it took more than talent for jackie to reach the major leagues--his courage and determination helped him overcome unjust policies and racist backlash.<br /><br />from his early life in georgia through his 1955 world series victory and beyond, this account of robinson's life is an inspiring look at how one person can effect real change in the world. written in simple, narrative style and beautifully illustrated, this is a perfect introduction for young readers interested in baseball, history, and civil rights.<br /><br />an authors note acknowledges some of the other pioneers in desegregating baseball, and a timeline of important dates is included.<br /><br />for almost thirty years, david adler's picture book biography series has profiled famous people who changed the world. colorful, kid-friendly illustrations combine with adler's ""expert mixtures of facts and personality"" (<i>booklist</i>) to introduce young readers to history through compelling biographies of presidents, heroes, inventors, explorers, and adventurers. these books are ideal for first and second graders interested in history or who need reliable sources for school book reports.",0
1097,monkeys in the jungle,"a picture book for the very young which features many kinds of animals in their natural environment, many of whom are hiding. children must discover their whereabouts before the animals jump out and say ""boo"".",0
1100,show me!,"show me your nose, is that where it grows? i'm gonna nuzzle that nose!tom tracy depicts a familiar game that is a favorite with babies and toddlers. who can resist nuzzling noses tweaking cheeks and tickling tummies? darcia labrosse's tender illustrations capture the simple fun of this gentle game with warmth and glee.an alternate selection of childrens book-of-the-month club",0
1107,toad makes a road,"an enjoyable story with phonics-based text, designed to help children crack the reading code with ease. some pages have fold-put flaps to give the reader a chance to guess what will happen next. inside back cover contains a phonic breakdown of the words in the book. the ""easy words to read"" series for beginner readers blends a phonics-based text with a funny stroy. the illustrations give clues to the words to add to the fun",0
1121,jack and jill went up the hill (nursery play-along classic),"in the successful tradition of <i>this little piggy went to market</i> and <i>pat-a-cake</i>, here is a new nursery rhyme play-along classica joy to read aloud, to feast the eyes, to chant together, and to use in interactive play.illustrated with soft pencil drawings in tender shades of pastels, this is a beguiling book just right for babies, toddlers . . . and their parents!",0
1123,sam's snack,get ready to dig into an all-new pop-up concoction from the creator of sam's sandwich and sam's surprise! sam plans a day's sailing trip -- <i>without</i> his sister. so samantha packs her brother a lunch box filled with deliciously gruesome seaside snacks. but there's one more surprise in store.on shore!,0
1124,sam's pizza,"savor this deep-dish serving of sibling rivalry, delivered to you fresh from the brilliant creator of sam's sandwich and the sensational hamburger! this time sam and samantha have cooked up a pizza pie with everything on it...so look before you bite, or you may get an icky surprise!",0
1127,brothers are for making mud pies,"it’s fun to play hide-and-seek with a brother, or build a fort, or jump in puddles. you can make a brother laugh, play baseball together, and keep each other company when mom and dad go out. a brother is a lifelong friend. sisters and brothers alike will enjoy lifting the flaps of this adorably illustrated book, brimming with cheerful, colorful art, to see all the ways a brother is special.",0
1129,dora's color adventure!,what color are boots's boots? what else is blue on blueberry hill? find out as dora and boots visit their friends to learn about a rainbow of colors. and little fingers will love using the tabs for easy page turning!,0
1130,dora's treasure hunt,"dora and boots are off on a treasure hunt, and they need some help! readers can help dora by using the enclosed stickers to find the right way to the treasure chest -- and find out what's inside it too!",0
1131,little star (dora the explorer),"dora and boots spy the first little star of the evening and begin making their wishes. but suddenly a comet knocks little star out of the sky, and she falls to the ground. join dora and boots as they try to get little star home, so that everyone can make a good-night wish.",0
1132,"happy mother's day, mami! (dora the explorer)","dora decides that she wants to make a special banana-nut-chocolate cake for her mami for mother's day, but first she has to gather all the ingredients. to start, boots helps dora find the bananas, nuts, and chocolate and then her papi helps her bake the cake. full color.",0
1137,i love you as much...,"celebrate mother's day every day. this celebration of the bond between mothers and their babies can be shared at naptime or bedtime or whenever it is time to say ""i love you.""""written in quatrains that break into couplets across each double page, this lullaby rhyme catalogues various animals and their offspring, describing each mother's testament of love."" <em>school library journal.</em><br /><br />""the light-drenched, golden-toned pictures exert a quietly hypnotic effect on both reader and listener, aided by the lullaby's sonorous repetition of each mother animal's love poem to her baby."" <em>new york times</em>",0
1138,how do i love you,"now, for the first time, how do i love you? is available in the popular small boardbook format. the lyrical meter and simple rhyme makes this ""love poem"" especially suitable for the toddler age. and the message is simple: mom or dad loves the child -no matter what. p.k. hallinan's delightful cartoon art will bring a smile to children of all ages.",0
1139,"mama, do you love me?","<b>
  <i>mama, do you love me? yes i do, dear one. how much?</i>
</b><br />in this universal story, a child tests the limits of independence and comfortingly learns that a parent's love is unconditional and everlasting. the lyrical text introduces young readers to a distinctively different culture, while at the same time showing that the special love that exists between parent and child transcends all boundaries of time and place. the story is beautifully complemented by graphically stunning illustrations that are filled with such exciting animals as whales, wolves, puffins, and sled dogs. this tender and reassuring book is one that both parents and children will turn to again and again.<br /><br />• set in a captivating and unusual arctic setting<br />• includes a carefully researched glossary provides additional information on arctic life<br /><br /><b>fans of <i>the very hungry caterpillar</i>, <i>goodnight moon</i>, and <i>guess how much i love you</i> will love this book. </b><br /><br />this book is a great read for:<br />• toddlers and young children<br />• families interested in different cultures<br />• parents<br />• librarians",0
1140,i love you with all my heart,polo the polar bear questions how his mother can love him with all her heart and learns from his many friends the all-encompassing quality of a parent's love.,0
1141,i love to laugh!: a book of fun and giggles,"suitable for ages 6 months to 3 years, this book of parent-child activities aims to encourage and promote the wonderful gift of giggles and laughter. it contains pages that demonstrate various fun and loving interactive games.",0
1142,i love my daddy because...,"<i><b>the perfect board book for babies and toddlers to read with dad!</b> </i><br /><br /><br /><br />""i love my daddy because he plays with me. . .""<br /><br />this book begins with a heartwarming scene between a human parent and child, but moves on to loving care in many animal families. ""he sings me songs,"" says a gray wolf cub. ""he keeps me safe and warm,"" says a young penguin. children will love reading about how baby animals spend time with their dads, and daddies everywhere will love celebrating father's day--or any occassion!--with this adorable gift from their little ones.",0
1150,five little monkeys sitting in a tree,"while their mother takes a nap, five mischievous monkeys discover that it is unwise to tease mr. crocodile.",0
1151,wake-up kisses,"when the sun goes down, it's time to rise and shine for many nighttime creatures. there's much to do as owl, opossum, and other nocturnal friends hurry about to wake their young.<br /><br />it's time to get busy, but not without those wake-up kisses!<br /><br />pamela duncan edwards and henry cole have created an adorable picture book about animal babies whose day begins as the rest of the world is falling asleep.",0
1157,toddler two-step,"they're up, they're walking, and now they're dancing too! perfect for toddlers who can't sit still, this rhythmic verse is so infectious, even big feet won't be able to resist it. full color.",0
1174,cats (baby einstein),"introduce your baby to birds, cats, dogs, and babies through fine art, illustration, and photographs. these books are a rare opportunity to expose little ones to a range of images on a single subject, from simple child's drawings and abstract art to playful photos. a brief text accompanies each image, introducing the baby to some basic -- and sometimes playful -- information on the subjects.",0
1175,baby noah: world animals (baby einstein),"lush photographs of animals from all over the world introduce children to the wonders of nature and stimulate their interest in the world around them. baby noah builds on children's natural curiosity by teaching them where different animals live, what they eat, and how they play.",0
1176,things that go! (baby einstein),"children love to see andhear things that go'. created toexpand youngster's vocabulary and recognition skills, this delightfullyillustrated board book will engage babies and toddlers for hours of locomotion-learningfun!",0
1177,master pieces (baby einstein),"parents and children will enjoy a stimulating journey through the world of classic art in this beautifully illustrated giant lift-the-flap book. each masterpiece is accompanied by an interactive lift-the-flap element that will help children identify and match common objects. enjoying familiar works of art and discovering new artists together, families will treasure master pieces is an art resource for years to come.",0
1178,mama and me (baby einstein),"what do a deer and a fawn, a duck and a duckling, a tiger and a cub all have in common with you and your baby? the same important bond that all babies need to learn and grow. this charming board book illustrates that profound bond between mother and child by using stunning photos of baby animals learning and growing with their mothers. simple text imbedded with real-life facts invites children to learn how different animal babies learn and grow with the care of their mothers.",0
1179,mimi's toes: a splash and giggle bath book (baby einstein),"by following the story of mimi's bath-time ritual, babies and toddlers will develop an awareness of their own bodies and have fun imitating mimi, as her mama, jane, washes her 'from her feet to her nose.' mimi's toes bath book is squeezable and floatable, and can be enjoyed in and out of the tub.",0
1180,windows to color (baby einstein),"open baby's eyes to the magic and beauty of color in the world around them. this unique visual board book features a peek-a-boo window that invites young children to see all the amazing things each color can be! bold photos of colorful real life objects, accompanied by photographs of art masterpieces create a unique and pleasurable learning visual experience.",0
1181,puzzling shapes (baby einstein),teach young children five different shapes with this delightful puzzle book. little ones will lvoe matching shapes to objects in various scenes.,0
1182,bard's rhyme time (baby einstein),"bard the gecko loves to rhyme. he sees rhymes everywhere -- in his bedroom, his backyard, at the lake, and at the farm. flaps on every page make learning about rhyming words fun, and will encourage children to find things that rhyme all about them.",0
1183,"goodnight sun, hello moon","from back of book: ""bedtime is a special time and this beautiful book will be a special part of saying good night. parents and children alike will adore this story of a mother and father bunny who go to great lengths to convince their child it's time to go to bed. as children turn the pages, a little bit of the sun goes away and a little piece of the sleepy moon appears - ready to send young ones to sleep night after night.""",0
1184,i've been working on the railroad,"""all the live long day."" bright, cheerful animals work on a train, eat in the dining car, and ride through the countryside in this ""rolling"" board book! full color.",0
1185,a crack in the track,"what does it take to bring the entire island of sodor railway system to a halt? just a crack in the track. well, a crack in the track and some hail on the rail . . . and a toad in the road, and a fuss on the bus. in fact, one thing leads to another until just about everything that <i>can</i> go wrong <i>does</i> go wrong. luckily, there’s a breakdown train with a couple of cranes that can fix a big mess!",0
1186,"blue train, green train (thomas & friends)","thomas the blue train works all day while percy the green train works all night. but what exactly do they do? told in the simplest language, here is a charming tale of a day and night on the island of sodor.",0
1188,"go, train, go!","thomas is taking the judge to the train show! he speeds up a hill, across a ridge, through a tunnel, and over a bridge. but as soon as thomas starts to go fast—<i>screech!</i>—he has to slow down. a goat is in the way, the wind is pushing him back, the tunnel is very dark, and logs are on the track! as soon as thomas gets past each delay, he gets to go fast—at last! but will they reach the show on time? go, thomas, go!",0
1189,freight train,"<em>red caboose at the back, orange tank car, green cattle car, purple box car, black tender and a black steam engine . . . freight train.</em><br /><br /><strong>in simple, powerful words and vibrant illustrations, donald crews evokes the rolling wheels of that childhood favorite: a train. this board book features sturdy pages and is just the right size for little hands.</strong><br /><br />this calecott honor book features bright colors and bold shapes. even a child not lucky enough to have counted freight cars will feel he or she has watched a freight train passing after reading <em>freight train</em>.<br /><br />donald crews used childhood memories of trains seen during his travels to his grandparents' farm in the american south as the inspiration for this timeless favorite.",0
1190,usborne lift and look trains (lift and look board books),who's on the steam train today? what's happening at the station? find out by lifting all the flaps in this delightful board book. there are lots of things to spot and a few hidden surprises along the way.,0
1191,fisher price school bus lift the flap (fisher-price lift-the-flap playbooks),"this special playbook transforms the little people school bus into a wonderful place to explore early learning concepts. youngsters can learn about opposites, counting, feelings, shapes, colors, and action words by opening dozens of surprise-filled flaps.",0
1192,fisher price christmastime is here! lift the flap (fisher-price little people),"the little people ""rm"" characters are getting ready for christmas in this big book packed with flaps for little hands to open whether it is decorating the tree, going caroling, or visiting santa at the toy store, these characters are full of surprises.with over 50 fun flaps and dozens of object labels, christmastime is here is sure to become a new holiday favorite.",0
1193,sam's speedy fire truck,"vroom! vroom! while reading about each vehicle and the workers who use them, kids will have fun playing along and acting out the story with these three-dimensional die-cut board books.",0
1194,hot dog,"step 1 books entice early readers with rhyme, rhythm, and repetition. poor dog. he's awfully hot! but mom won't share her lemonade. cat won't share his shady spot on the porch. and skunk's making a real stink about sharing his hollow log. what does a hot dog have to do to get cool?<br /><b><br />step 1 readers</b> feature big type and easy words. rhymes and rhythmic text paired with picture clues help children decode the story. for children who know the alphabet and are eager to begin reading.",0
1198,the special delivery,"when an urgent package arrives for sir topham hatt, it must reach him as quickly as possible. what is inside the package? can the “really useful engines” cooperate and get it to him in time?",0
1202,we love school!,"a reassuring introduction to the classroom, marilyn janovitzs adorable kittens show just how much fun learning can be. perfect for young children just starting school.",0
